Prof_Course, The instructor clearly defined and explained the course objectives and expectations, The instructor was prepared for each instructional activity, The instructor communicated information effectively, The instructor encouraged me to take an active role in my own learning, The instructor was available to students either electronically or in person
Abayan-Kenneth-CHEM-1442-001-GENERAL CHEMISTRY II,4.129,4.129,3.8387,4.1613,4.2258
Abayan-Kenneth-CHEM-1465-003-CHEMISTRY FOR ENGINEERS,4.102,4.2449,3.9796,3.9592,3.8571
Abbas-Syed-BIOL-3444-001-GENERAL MICROBIOLOGY,3.9149,3.8723,3.9574,3.7872,3.9362
Abdullayev-Toyly-GEOL-1301-015-EARTH SYSTEMS,4.3333,4.3333,4,4,4.1111
Abdullayev-Toyly-GEOL-1301-017-EARTH SYSTEMS,5,5,5,4.8571,4.8571
Abellanoza-Cheryl-PSYC-4430-002-ADV TOPICS CLINICAL COUNSELING,4.7857,4.8571,5,5,5
Acrey-Penny-MAVS-1000-057-First Year Experience,4.5789,4.6316,4.6842,4.2632,4.3158
Adam-Thomas-HIST-3300-001-INTRO TO HISTORICAL RESEARCH,5,5,4.6667,5,5
Adam-Thomas-HIST-4358-001-THE THIRD REICH: 1933-1945 & GERM-4322-001-TOPICS IN GERMAN STUDIES II,4.7273,5,4.8182,5,4.8182
Adam-Thomas-HIST-4384-001-EUROPE1917-2000 & GERM-4314-001-GERMAN LANG & CULTURE II,4.3333,4.3333,4.6667,4.6667,4.6667
Adams-John-FINA-3313-002-BUSINESS FINANCE,3.4286,3.6071,3.3929,3.6429,3.5357
Adams-John-FINA-3313-003-BUSINESS FINANCE,3.6571,4,3.4,3.9143,4.0286
Adams-Phyllis-NURS-5350-001-ROLE OF NURSE IN ADV PRACTICE,3.75,4.1875,3.5,4.1875,3.4375
Adams-Phyllis-NURS-5350-002-ROLE OF NURSE IN ADV PRACTICE,3.5,3.5,3,3.6667,3
Adams-Phyllis-NURS-5631-001-ADV CLINICAL NURSING PRACTICUM,3,4.5,3,4.5,3
Adams-Quentin-MATH-2326-004-CALCULUS III,3.963,3.7778,3.5,3.9615,4.1481
Adams-Richard-BIOL-2457-006-HUMAN ANATOMY & PHYSIOLOGY I,3,3.2857,2.2857,4.5714,4
Adams-Richard-BIOL-2457-008-HUMAN ANATOMY & PHYSIOLOGY I,3.8333,4,4,3.6667,4
Adams-Sandra-LIST-5316-005-LITERACY PRACTICUM I,3.5181,3.7831,3.1928,4.0843,4.0482
Adams-Sandra-LIST-5362-005-LITERACY INSTR ESL/BIL SETTING,3.3306,3.6364,3.15,3.9833,3.75
Adkins-Julie-ANTH-1306-002-INTRO TO ANTHROPOLOGY,4.4815,4.7037,4.5556,4.4074,4.4444
Adkins-Julie-ANTH-1306-003-INTRO TO ANTHROPOLOGY,4.5556,4.7037,4.5556,4.2963,4.5556
Adkins-Julie-ANTH-3339-001-URBAN ANTHROPOLOGY,4.6364,4.6364,4.6364,4.8182,4.8182
Adnan-Ashfaq-AE-5101-001/002 & ME-5101-001/002-GRADUATE SEMINAR,4.0811,4.0541,4.0541,3.9189,4.0278
Adnan-Ashfaq-ME-5390-005-SPEC TOPICS MECH ENGR & AE-5301-005-ADV TOPICS AEROSPACE ENGR,4.4167,4.3333,4.3333,4.4167,4.3333
Adorno-Gail-SOCW-6317-002-DIRECT PRACTICE IN HEALTH CARE,4.0909,4.2727,4.1818,4.3636,4.4545
Adorno-Gail-SOCW-6392-002-SELECTED TOPICS IN SOC WELFARE,4.5,4.5833,4.4167,4.3333,4.5
Agger-Ben-SOCI-3372-001-SOCIOLOGICAL THEORY & HONR-LA-3304-002-SPECIAL TOPICS,4.1875,4.375,4.375,4.6667,4.4375
Agger-Ben-SOCI-5301-001-SOCIOLOGICAL THEORY,4.6,5,4.6,5,5
Agonafer-Dereje-MAE-3311-001-THERMODYNAMICS II,3.3889,4,3.7778,4.3333,4
Agonafer-Dereje-ME-5352-001-FDMTLS ELECTRONIC PACKAGING,4.4706,4.5294,4.5294,4.5294,4.5294
Agor-Jeremy-MAVS-1000-026-First Year Experience,4.2222,4.3333,4.3333,4.2941,4.3333
Aguilar-Bernadette-BIOL-1441-008-CELL MOL BIOL,4.1,4.3,4,4,4.3
Aguilar-Bernadette-BIOL-1441-023-CELL MOL BIOL,4,4.1667,4.1667,4.4,4.1667
Aguilar-Bernadette-BIOL-1441-025-CELL MOL BIOL,4.1429,4.5714,4.2857,4.2857,4.5714
Aguilar-Dolores-FS-NURS-1300-601-INTRO TO PROFESSIONAL NURSING,4.5882,4.3939,4.4706,4.4412,4.4412
Aguilar-Dolores-NUR-4465-500 & NURSU 4465-500 RN-BSN CARE OF VULNERABLE POPULATIONS ACROSS THE LIFESPAN,4.45,4.4125,4.3165,4.3375,4.3165
Aguilar-Dolores-NURS-4465-501-NURSU-4465-501-RN-BSN VULNERABLE POPULATIONS,4.4219,4.4219,4.3492,4.3281,4.3906
Aguilar-Dolores-NURS-5329-401-ROLE OF THE NURSE EDUCATOR,4.4857,4.4286,4.2857,4.4571,4.2286
Aguilar-Dolores-NURS-5361-400-SPECIAL TOPICS CLIN PRACTICE,4.1667,4,3.3333,4.1667,3.6667
Aguirre-Medel-Susana-CHEM-1465-112-CHEMISTRY FOR ENGINEERS engineers,4.2,4,3.8,3.9,3.9
Aguirre-Medel-Susana-CHEM-1465-115-CHEMISTRY FOR ENGINEERS,4.1429,3.7143,3.8571,4.4286,3.8
Aguirre-Regina-SOCW-5322-001-RESEARCH AND EVALUATION I,4.6667,4.75,4.75,4.75,4.75
Aguirre-Regina-SOCW-5322-002/003-RESEARCH AND EVALUATION I,4,4,3.5455,4,4
Ahmad-Ishfaq-CSE-1311-003-INTRO PROGRAMMING ENGRS & SCI,3,3.1538,2.9231,3.6154,3.4615
Ahmad-Ishfaq-CSE-4351-001 & CSE-5351-001-PARALLEL PROCESSING,2.5,2.875,3,3,3.625
Ahmadi Majlan-Kamyar-PHYS-1444-008-GENERAL TECHNICAL PHYSICS II,4.2308,4.3077,4.25,4.2308,4.2308
Ahmadi Majlan-Kamyar-PHYS-1444-014-GENERAL TECHNICAL PHYSICS II,4.75,4.75,4.75,4.75,4.75
Aiken-Ladonna-BCMN-2358-001-TELEVISION PRODUCTION I,4.8333,4.5,4.4,5,5
Aiken-Ladonna-BCMN-2370-001-MULTIMEDIA PRODUCTION,4.625,4.875,4.8571,4.875,4.7143
Akers-Donna-INTS-4301-002-INTS RESEARCH PROCESS & INTS-4388-002-SPECIAL TOPICS IN IDS & HIST-4388-006-SEL TOP HIST & WOMS-4392-001-SP TOPICS WOMEN'S & GENDER ST,4.1875,4.3125,4.125,3.9375,3.875
Aktosun-Tuncay-MATH-5392-005-SELECTED TOPICS IN MATH,4.75,4.75,4.75,4.75,4.75
Al Laymoun-Ola-INSY-2303-002-INTRO TO MIS/DATA PROCESSING,3.8636,3.7727,3.2727,3.4545,3.8182
Al Laymoun-Ola-INSY-2303-005-INTRO TO MIS/DATA PROCESSING,4.5263,4.5789,4.2105,4.2632,4.1579
Al-Refai-Shaban-ART-2354-001-TYPOGRAPHY,4.5,4.75,4.5,5,5
Alaimo-Stacy-ENGL-3364-001 & WOMS-3364-001-GAY AND LESBIAN LITERATURE,4.75,4.875,4.875,4.75,4.875
Alaimo-Stacy-ENGL-4399-001-SENIOR SEMINAR,5,5,5,5,5
Alam-Md. Zahidul-BIOL-2460-002-NURSING MICROBIOLOGY,3.4286,2.5714,3,3,3.7143
Alam-Md. Zahidul-BIOL-3444-007-GENERAL MICROBIOLOGY,4.3846,4.3846,4.3077,4.3077,4.3846
Alameddin-Najia-ARAB-1441-002-BEGINNING ARABIC I,4.75,4.875,5,5,5
Alameddin-Najia-ARAB-1442-001-BEGINNING ARABIC II,3.9091,4,3.5455,4,4.2
Alameddin-Najia-FREN-2314-002-INTERMEDIATE FRENCH II,3.8889,4.3333,3.5556,4.2222,4.1111
Alameddin-Najia-FREN-3304-002-GRAMMAR AND COMPOSITION,4.375,4.375,4.375,4.375,4.4286
Alavi-Kambiz-EE-2347-001-MATHEMATICAL FOUNDATIONS OF EE,2.1,1.8,2.2,4,2.8
Alavi-Kambiz-EE-2347-101-MATHEMATICAL FOUNDATIONS OF EE,2.8,2.8,3.2,4,3.2
Alavi-Kambiz-EE-2347-102-MATHEMATICAL FOUNDATIONS OF EE,3,3.5,3,4,3.5
Alavi-Kambiz-EE-3407-001-ELECTROMAGNETICS,2.7368,2.7895,2.6316,4.3158,3.8947
Albart-Molly-MAVS-1000-082-First Year Experience,4.3636,4.5455,4.4545,4.5455,4.4545
Alcorn-Julie-MAVS-1000-013-First Year Experience,5,5,5,5,5
Alderman-Ethan-KINE-1400-003-INTRO TO EXERCISE SCIENCE,4.25,4.25,3.75,3.5,2.75
Alderman-Ethan-KINE-1400-009-INTRO TO EXERCISE SCIENCE,4,4.3333,4,3.6667,4.3333
Alderman-Ethan-KINE-1400-010-INTRO TO EXERCISE SCIENCE,4.7143,5,4.8571,4.7143,4.4286
Alderman-Ethan-KINE-1400-014-INTRO TO EXERCISE SCIENCE,4.25,4.25,3,4,4.25
Alexandrakis-Georgios-BE-5327-003 & BE-3327-003-TISSUE OPTICS,4,4.3846,4,4.2308,4.6154
Alhoqail-Saad-MARK-4325-001-INTERNATIONAL MARKETING,4.3333,4.6364,4.1667,4.4167,4.5833
Ali-Ahmed-MATH-1302-150-COLLEGE ALGEBRA,3.7778,3.75,3.4412,3.8056,4.3429
Ali-Ahmed-MATH-1302-151-COLLEGE ALGEBRA,3.9667,4,3.7667,4.1333,4.1667
Ali-Ahmed-MATH-3330-003-INTRO MATRICES/ LINEAR ALGEBRA,4.125,4.6667,3.875,4.5,4.3333
Allmond-Karen-BEEP-4311-002-MATH IN DUAL LANGUAGE SETTINGS,4,4.5714,4.2143,4.5,4.6429
Allmond-Karen-EDUC-4333-003-MULTI TEACH PRAC MATH/SCIENCE,4,4.5,4.5,4.5,4.8333
Allmond-Karen-EDUC-5305-105-CUR DESGN IMPLMNTATION & EVAL,4.5294,4.5294,4.4706,4.3529,4.6471
